,Profile,Campany,Skills,Exp,Location
0,"Freelance Proofreader , Executive Dba , Communtion Assistant     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","GoodComputerknowledge,DatabaseApplication,DataAdministration,InformationSystems,WebApplication",0 - 1 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Hyderabad/Secunderabad"
1,DATA MANAGEMENT     Inflex jobs and consultancy private limited     (More Jobs),"Inflex jobs and consultancy private limited
     (More Jobs)","computeroperator,dataentryoperator,computerassistant,dataentry,officeassistant,frontofficeassistant,contentwriter,processassociate",0 - 3 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi,  Delhi/NCR"
2,"Technical Associate , Technical Engneer , Biomedical Engineer     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","Clients,Exchange,ExchangeServer5.5,WindowsServer,Dataentry,systemadministrator,customersupportengineer,technicalsupportengineer,cse,computeroperator",0 - 1 yrs,"Srikakulam,  Vijayawada,  Bhavnagar,  Rajkot,  Jamshedpur"
3,"Process Assistant , Associate Consultant , Retail     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","Management,MicrosoftTechnologies,RetailBanking,WealthManagement,MutualFunds,Finance,BusinessManagement,Clients,Associate",0 - 1 yrs,₹Rs 1.10 - 3.20 Lacs p.a.
4,HIRING FOR DATA ENTRY OPERATOR     Inflex jobs and consultancy private limited     (More Jobs),"Inflex jobs and consultancy private limited
     (More Jobs)","GOODTYPINGSKILLS,40Wpm,EntryOperator",0 - 3 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Hyderabad/Secunderabad"
5,Customer care executive     SUBHADRA JOBS CONSULTANCY     (More Jobs),"SUBHADRA JOBS CONSULTANCY
     (More Jobs)","Customercareexecutive,CCE,BPO,inbound,outbound,CSE",0 - 2 yrs,Kolkata
6,Assistant General Manager - IR     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",AssistantGeneralManager-IR,15 - 20 yrs,"Kolkata,  Bhopal,  Jaipur,  Dehradun"
7,Mechanical Maintenance  /  Quality Engineer     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","PreventiveMaintenance,qaengineer,testengineer",8 - 13 yrs,₹Rs 6.00 - 12.00 Lacs p.a.
8,Warehouse Executive     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",WarehouseExecutive,3 - 6 yrs,"Delhi/NCR,  Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Pune"
9,Sr. Mechanical Project Engineer  /  Manager     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","ProjectCoordination,ProjectCosting,VendorManagement,projectmanager",12 - 17 yrs,₹Rs 12.00 - 20.00 Lacs p.a.
10,"Customer Care Executive / Associate Non Voice / Web , Team Leader     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","Proofreading,Transcription,Office-mgmt,Database,WebTechnologies,Management,typing,EntryOperator,officeassistant,backofficeassistant,computeroperator",0 - 1 yrs,"Chandigarh,  Amritsar,  Ludhiana,  Patiala,  Other City(s) in Punjab"
11,Sales Engineer /  Manager- UPS /  Electrical /  Energy Automation     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",SalesEngineer/Manager-UPS/Electrical/EnergyAutomation,8 - 13 yrs,₹Rs 6.00 - 14.00 Lacs p.a.
12,"Customer Care Executive / Associate Voice , Business Analyst     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","Marketing,researchassociate,assistantprofessor,Trainer,technicalconsultant,BusinessAnalysis",0 - 1 yrs,"Delhi,  Chandigarh,  Pondicherry/Puducherry,  Guntur,  Kakinada"
13,Dot net developer with angular     SUBHADRA JOBS CONSULTANCY     (More Jobs),"SUBHADRA JOBS CONSULTANCY
     (More Jobs)","asp,.net,Mvc,Angular,APi,SQL",3 - 8 yrs,Hyderabad/Secunderabad
14,PLC Engineer     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","PlcProgramming,plc",5 - 10 yrs,₹Rs 5.00 - 8.00 Lacs p.a.
15,Secretary / Executive Assistant   ( Female )      Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","personalsecretary,executiveassistant,P.A",5 - 10 yrs,₹Rs 4.00 - 8.00 Lacs p.a.
16,SR. PROJECT MANAGER – CIVIL     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","projectcivil,engineering,siteengineer,civil",15 - 20 yrs,₹Rs 15.00 - 30.00 Lacs p.a.
17,"HR Executive , HR Executive / Officer     Sahyog Jobs Consultancy     (More Jobs)","Sahyog Jobs Consultancy
     (More Jobs)","HRExecutive,humanresource,humanresourceexecutive",3 - 6 yrs,"Delhi/NCR,  Mumbai,  Chandigarh,  Hyderabad/Secunderabad,  Baddi"
18,"""ADMIN EXECUTIVE"" , Executive Office Administration     Sahyog Jobs Consultancy     (More Jobs)","Sahyog Jobs Consultancy
     (More Jobs)","AdminExecutive,adminassistant,admin",3 - 7 yrs,"Bengaluru / Bangalore,  Delhi/NCR,  Kolkata,  Mumbai,  Pune"
19,Recruiter     TALENT HUB JOBS     (More Jobs),"TALENT HUB JOBS
     (More Jobs)","RecruitmentsSourcing,Recruiter,hrrecruiter,customercareexecutive,telesales,Telemarketing,EndToEndRecruitment",1 - 4 yrs,₹Rs 1.00 - 2.00 Lacs p.a.
20,"Back office executives , Product Executive , data entry executive     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","associatebasisconsultant,DataCentreOperation,Marketing,computeroperator,systemadministrator,customersupportengineer,serviceengineer,servicemanager",0 - 1 yrs,"Gurgaon,  Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Pune"
21,Telecing / Telemarketing / Telesales Team Lead / Manager     Inflex jobs and consultancy private limited     (More Jobs),"Inflex jobs and consultancy private limited
     (More Jobs)","TechnicalAssistance,technicalsupport,technicalsupportexecutive,associatebasisconsultant,Administration,customersupportengineer,serviceengineer",0 - 1 yrs,₹Rs 1.05 - 3.20 Lacs p.a.
22,"""BPO Customer Service Associate"" , Office Assistant , Off Assistant     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","Management,Dataentry,computeroperator,cashier,accountsassistant,accountant,executive,customersupportengineer,technicalsupportengineer,systemadmin",0 - 1 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Delhi/NCR,  Gurgaon,  Mumbai"
23,"Business executives  , Team Leader , System Administrator     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","FunctionalSpecifications,RequirementGathering,BusinessAnalysis,Consulting,datamanagement,DataQuality,DataAnalysis,businessanalyst,seniorexecutive",0 - 1 yrs,₹Rs 1.10 - 3.25 Lacs p.a.
24,"Business Analyst , Consultant , System Engineer     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","Proofreader,Functional,Compatibility,System,Integration",0 - 1 yrs,"Chandigarh,  Amritsar,  Ludhiana,  Patiala,  Other City(s) in Punjab"
25,Instrumentation and Control Engineers     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",InstrumentationandControlEngineers,5 - 10 yrs,₹Rs 6.00 - 12.00 Lacs p.a.
26,"""URGENT REQUIREMENT FOR OMAN - PURCHASE EXECUTIVE""     Global Jobs     (More Jobs)","Global Jobs
     (More Jobs)","ConstructionCivilEngineering,ConstructionInfrastructure,ConstructionPlanning,""InventoryManagement"",""MaterialResourcesManagement""",2 - 5 yrs,₹Rs 7.20 - 9.50 Lacs p.a.
27,"System Engineer , It Engineer , Technical Support Engineer     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","Trainer,Business,Implementation,Support",0 - 1 yrs,"Other City(s) in Chhattisgarh,  Other City(s) in Gujarat,  Other City(s) in Haryana,  Other City(s) in Kerala,  Other City(s) in Madhya Pradesh"
28,"Branch Office Assistant , Communtion Assistant     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","Customer,Database,Administration,consultant,associateconsultant,systemadmin,seniordesktopengineer,systemengineer,itengineer,businessdevelopment",0 - 1 yrs,"Chennai,  Coimbatore,  Madurai,  Tirunelveli,  Tuticorin"
29,"Technical Associate , Customer Support Engineer , Desktop Engineer     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","Clients,Exchange,ExchangeServer5.5,WindowsServer,Laptop,Printer,Desktop",0 - 1 yrs,"Srikakulam,  Vijayawada,  Bhavnagar,  Rajkot,  Jamshedpur"
30,"Telecing / Telemarketing / Telesales Executive , Associate     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","businessanalyst,researchassociate,assistantprofessor,DataBaseAdministration,Connect,BackOfficeServer,Troubleshooting",0 - 1 yrs,"Delhi,  Chandigarh,  Pondicherry/Puducherry,  Guntur,  Kakinada"
31,SR. MANAGER POWER GENERATION     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","power,powergeneration,",10 - 15 yrs,₹Rs 10.00 - 20.00 Lacs p.a.
32,"Receptionist , Computer Operator , Data Entry , Office Assistant     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","40Wpm,GoodComputerknowledge,Hightypingskills,Excel,MsExcel",1 - 4 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Hyderabad/Secunderabad"
33,Content Writer  ( Female )      Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","Editor,copyeditor,contentwriter",0 - 3 yrs,₹Rs 2.00 - 4.00 Lacs p.a.
34,Assistant Manager / Manager F & A     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","Accounting,FinancialAccounting,AccountsPayable",5 - 10 yrs,₹Rs 4.50 - 7.50 Lacs p.a.
35,Education Counselor     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",EducationCounselor,3 - 6 yrs,₹Rs 3.00 - 4.80 Lacs p.a.
36,"Area Sales Officer , Sales Executive     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","GOODTYPINGSKILLS,40Wpm,EntryOperator,Marketing,salesexecutive,teamleader,executive",0 - 3 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Hyderabad/Secunderabad"
37,Vice President /  GM - Engineering Head   /  GM - Project Execution     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",Head/GM-ProjectExecution,10 - 15 yrs,"Delhi/NCR,  Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Pune"
38,Senior Manager Procurement     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","SeniorManagerProcurement,Purchasing,PurchaseOrder",5 - 10 yrs,"Bengaluru / Bangalore,  Delhi/NCR,  Mumbai,  Pune,  Chandigarh"
39,HR Manager  ( Female )      Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","HumanResourcs,Management,RecruitmentsSourcing",6 - 10 yrs,₹Rs 3.00 - 5.00 Lacs p.a.
40,Assistant Manager - Safety     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","safety,SafetyEngineering,FireProtection,FireSafety,SafetyManagement,SiteSafety,IndustrialSafety,SafetyInspection",6 - 10 yrs,₹Rs 4.00 - 8.00 Lacs p.a.
41,Senior Merchandiser     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",SeniorMerchandiser,5 - 10 yrs,₹Rs 4.50 - 8.50 Lacs p.a.
42,"TELESALES Representative , Telesales Executive     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","TechnicalAssistance,technicalsupport,technicalsupportexecutive,associatebasisconsultant,Administration,customersupportengineer,serviceengineer",0 - 1 yrs,₹Rs 1.05 - 3.20 Lacs p.a.
43,Production Manager - Garments Factory     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",ProductionManager-GarmentsFactory,10 - 15 yrs,₹Rs 10.00 - 15.00 Lacs p.a.
44,Project Manager Civil  /  Senior Engineer Civil     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","RCC,residentialconstruction,StructuralEngineer",5 - 10 yrs,₹Rs 6.00 - 12.00 Lacs p.a.
45,Manager Projects Estimation and Project Billing     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","ManagerProjectsEstimationandProjectBilling,Planning",10 - 15 yrs,"Delhi/NCR,  Hyderabad/Secunderabad,  Kolkata,  Pune"
46,"""STORE KEEPER""     Global Jobs     (More Jobs)","Global Jobs
     (More Jobs)","CommunicationandInterpersonalSkills,""GENERALSTOREKEEPINGANDWAREHOUSING"",""MAINTAINCOMPUTERMANUALANDRECORDS"",""DATAENTRYSKILLS"",""DATAENTRY""",2 - 4 yrs,₹Rs 7.00 - 7.40 Lacs p.a.
47,"Part Time Support , Associate Consultant , Business Analyst     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","DataCentreSolutions,DataBaseAdministration,DataCommunication,SingleBoardComputers,Communication",0 - 1 yrs,"Chandigarh,  Amritsar,  Ludhiana,  Patiala,  Other City(s) in Punjab"
48,"""STICKER APPLICATOR""     Global Jobs     (More Jobs)","Global Jobs
     (More Jobs)","""APPLYSTICKERONWALLS"",""WRAPPINGCARS"",""WRAPPINGVANS"",""BANNERINSTALLATION""",3 - 6 yrs,₹Rs 3.50 - 4.00 Lacs p.a.
